file_name;uiqm;uicm;uism;uiconm
Cam1_16_23_22_10_11_2020.mp4_00561.jpg;0.835560;2.789310;1.442400;0.770030
Cam1_16_23_22_10_11_2020.mp4_00562.jpg;0.824200;2.795090;1.404300;0.760740
Cam1_16_23_22_10_11_2020.mp4_00563.jpg;0.830620;2.790300;1.500600;0.759830
Cam1_16_23_22_10_11_2020.mp4_00564.jpg;0.829940;2.768390;1.457900;0.762790
Cam1_16_23_22_10_11_2020.mp4_00565.jpg;0.836120;2.782940;1.459500;0.769280
Cam1_16_23_22_10_11_2020.mp4_00566.jpg;0.827180;2.774690;1.467700;0.758910
Cam1_16_23_22_10_11_2020.mp4_00567.jpg;0.828650;2.766520;1.426200;0.764020
Cam1_16_23_22_10_11_2020.mp4_00568.jpg;0.831390;2.789700;1.419600;0.767360
Cam1_16_23_22_10_11_2020.mp4_00569.jpg;0.836030;2.730120;1.492400;0.766880
Cam1_16_23_22_10_11_2020.mp4_00570.jpg;0.836140;2.731880;1.456200;0.769970
Cam1_16_23_22_10_11_2020.mp4_00571.jpg;0.839520;2.719920;1.446700;0.774550
Cam1_16_23_22_10_11_2020.mp4_00572.jpg;0.842730;2.735420;1.496100;0.773840
Cam1_16_23_22_10_11_2020.mp4_00573.jpg;0.845620;2.746590;1.498800;0.776680
Cam1_16_23_22_10_11_2020.mp4_00574.jpg;0.848520;2.738690;1.498900;0.779900
Cam1_16_23_22_10_11_2020.mp4_00575.jpg;0.818440;2.623360;1.451900;0.751880
Cam1_16_23_22_10_11_2020.mp4_00576.jpg;0.820890;2.603250;1.435100;0.756100
Cam1_16_23_22_10_11_2020.mp4_00577.jpg;0.823920;2.614170;1.419400;0.760620
Cam1_16_23_22_10_11_2020.mp4_00578.jpg;0.813220;2.586310;1.440900;0.747390
Cam1_16_23_22_10_11_2020.mp4_00579.jpg;0.813520;2.585410;1.438800;0.747900
Cam1_16_23_22_10_11_2020.mp4_00580.jpg;0.820400;2.587570;1.454600;0.754080
Cam1_16_23_22_10_11_2020.mp4_00581.jpg;0.800180;2.800610;1.434700;0.732000
Cam1_16_23_22_10_11_2020.mp4_00582.jpg;0.803360;2.782850;1.422400;0.736620
Cam1_16_23_22_10_11_2020.mp4_00583.jpg;0.809150;2.766180;1.419800;0.743270
Cam1_16_23_22_10_11_2020.mp4_00584.jpg;0.806830;2.629380;1.447800;0.739520
Cam1_16_23_22_10_11_2020.mp4_00585.jpg;0.810100;2.633730;1.444700;0.743300
Cam1_16_23_22_10_11_2020.mp4_00586.jpg;0.818660;2.665250;1.427600;0.753800
Cam1_16_23_22_10_11_2020.mp4_00587.jpg;0.824750;2.691200;1.494300;0.754730
Cam1_16_23_22_10_11_2020.mp4_00588.jpg;0.828350;2.682010;1.491900;0.758930
Cam1_16_23_22_10_11_2020.mp4_00589.jpg;0.834530;2.684040;1.490600;0.765760
Cam1_16_23_22_10_11_2020.mp4_00590.jpg;0.842500;2.762350;1.526200;0.770880
Cam1_16_23_22_10_11_2020.mp4_00591.jpg;0.843140;2.796420;1.492500;0.774100
Cam1_16_23_22_10_11_2020.mp4_00592.jpg;0.840650;2.778040;1.483500;0.772280
Cam1_16_23_22_10_11_2020.mp4_00593.jpg;0.850260;2.735180;1.550800;0.777530
Cam1_16_23_22_10_11_2020.mp4_00594.jpg;0.848580;2.727640;1.520200;0.778290
Cam1_16_23_22_10_11_2020.mp4_00595.jpg;0.849710;2.744690;1.519900;0.779410
Cam1_16_23_22_10_11_2020.mp4_00596.jpg;0.857540;2.773420;1.549500;0.785280
Cam1_16_23_22_10_11_2020.mp4_00597.jpg;0.856720;2.780070;1.518900;0.786850
Cam1_16_23_22_10_11_2020.mp4_00598.jpg;0.853590;2.766600;1.502900;0.784860
Cam1_16_23_22_10_11_2020.mp4_00599.jpg;0.862150;2.737970;1.579700;0.788090
Cam1_16_23_22_10_11_2020.mp4_00600.jpg;0.862920;2.711120;1.563300;0.790490
Cam1_16_23_22_10_11_2020.mp4_00601.jpg;0.860230;2.707780;1.546700;0.788960
Cam1_16_23_22_10_11_2020.mp4_00602.jpg;0.866360;2.711310;1.614200;0.790040
Cam1_16_23_22_10_11_2020.mp4_00603.jpg;0.864260;2.717580;1.577400;0.790740
Cam1_16_23_22_10_11_2020.mp4_00604.jpg;0.865410;2.690970;1.591000;0.791080
Cam1_16_23_22_10_11_2020.mp4_00605.jpg;0.864960;2.707080;1.639600;0.786450
Cam1_16_23_22_10_11_2020.mp4_00606.jpg;0.860890;2.712260;1.561900;0.788390
Cam1_16_23_22_10_11_2020.mp4_00607.jpg;0.860530;2.724890;1.552800;0.788650
Cam1_16_23_22_10_11_2020.mp4_00608.jpg;0.868800;2.742120;1.620300;0.791950
Cam1_16_23_22_10_11_2020.mp4_00609.jpg;0.867380;2.736430;1.575700;0.794130
Cam1_16_23_22_10_11_2020.mp4_00610.jpg;0.870340;2.732570;1.569500;0.797910
Cam1_16_23_22_10_11_2020.mp4_00611.jpg;0.872750;2.723690;1.630600;0.795560
Cam1_16_23_22_10_11_2020.mp4_00612.jpg;0.872300;2.732970;1.573300;0.799720
Cam1_16_23_22_10_11_2020.mp4_00613.jpg;0.874710;2.724640;1.596000;0.800550
Cam1_16_23_22_10_11_2020.mp4_00614.jpg;0.859510;2.698580;1.629700;0.781390
Cam1_16_23_22_10_11_2020.mp4_00615.jpg;0.862060;2.705400;1.608000;0.785910
Cam1_16_23_22_10_11_2020.mp4_00616.jpg;0.864250;2.691280;1.576300;0.791030
